Time (seconds),Lock,Running Time,Light,Acceleration x,Acceleration y,Acceleration z
31.56,31533118,31533147,98,120,28,-1032
31.59,31533118,31596775,98,112,40,-1032
31.6,31533118,31600776,98,112,40,-1032
31.6,31533118,31604776,98,116,44,-1036
31.6,31533118,31608799,99,116,44,-1036
31.63,31533118,31632860,99,124,48,-1040
31.64,31533118,31640790,98,124,48,-1040
31.64,31533118,31644801,98,128,40,-1036
31.64,31533118,31648869,98,128,40,-1036
31.65,31533118,31652875,98,128,40,-1036
31.65,31533118,31656778,98,128,40,-1036
31.68,31533118,31680774,99,116,40,-1016
31.68,31533118,31684776,104,112,44,-1020
31.68,31533118,31688786,104,112,44,-1020
31.69,31533118,31692802,104,112,44,-1020
31.69,31533118,31696776,104,112,44,-1020
31.7,31533118,31700776,104,112,44,-1020
31.72,31533118,31728869,100,124,48,-1044
31.73,31533118,31732931,100,124,48,-1044
31.73,31533118,31736807,100,124,48,-1044
31.74,31533118,31740866,100,124,48,-1044
31.74,31533118,31744880,100,88,60,-1060
31.74,31533118,31748784,100,88,60,-1060
31.75,31533118,31752787,100,88,60,-1060
31.77,31533118,31776775,99,76,40,-1028
31.78,31533118,31780787,99,76,40,-1028
31.78,31533118,31784827,105,-96,80,-988
31.78,31533118,31788777,105,-96,80,-988
31.79,31533118,31792779,105,-96,80,-988
31.8,31533118,31800775,105,-96,80,-988
31.82,31533118,31824927,101,8,28,-1060
31.82,31533118,31828789,101,8,28,-1060
31.83,31533118,31832806,101,8,28,-1060
31.83,31533118,31836865,99,8,28,-1060
31.84,31533118,31840939,99,8,28,-1060
31.84,31533118,31844786,99,-32,248,-1040
31.84,31533118,31848775,99,-32,248,-1040
31.87,31533118,31872774,100,44,-124,-964
31.87,31533118,31876786,100,44,-124,-964
31.88,31533118,31880776,100,44,-124,-964
31.88,31533118,31884799,102,60,-60,-756
31.88,31533118,31888776,102,60,-60,-756
31.89,31533118,31892776,102,60,-60,-756
31.91,31533118,31916868,102,-164,180,-864
31.92,31533118,31920944,102,-164,180,-864
31.92,31533118,31925093,102,-136,-332,-1076
31.92,31533118,31928775,102,-136,-332,-1076
31.93,31533118,31932865,102,-136,-332,-1076
31.93,31533118,31936938,106,-136,-332,-1076
31.96,31533118,31960775,102,-100,-68,-756
31.96,31533118,31964775,102,276,0,-992
31.97,31533118,31968775,102,276,0,-992
31.97,31533118,31976775,102,276,0,-992
31.98,31533118,31980776,102,276,0,-992
31.98,31533118,31984776,102,-72,256,-700
32.01,31533118,32012865,99,168,24,-860
32.01,31533118,32016936,99,168,24,-860
32.02,31533118,32020788,99,168,24,-860
32.02,31533118,32024816,99,204,-84,-1428
32.02,31533118,32028868,99,204,-84,-1428
32.03,31533118,32032930,99,204,-84,-1428
32.03,31533118,32036786,100,204,-84,-1428
32.06,31533118,32060867,107,188,316,-1628
32.06,31533118,32064775,107,-268,48,-1148
32.06,31533118,32068789,107,-268,48,-1148
32.07,31533118,32072776,107,-268,48,-1148
32.07,31533118,32076776,107,-268,48,-1148
32.08,31533118,32080776,107,-268,48,-1148
32.1,31533118,32104803,102,-464,-172,-572
32.1,31533118,32108867,102,-340,-352,-852
32.11,31533118,32112918,100,-340,-352,-852
32.11,31533118,32116787,100,-340,-352,-852
32.12,31533118,32120796,100,-340,-352,-852
32.12,31533118,32124864,100,-340,-352,-852
32.15,31533118,32148775,100,-536,-352,-476
32.15,31533118,32156775,100,-536,-352,-476
32.16,31533118,32160777,103,-536,-352,-476
32.16,31533118,32164786,103,-536,-352,-476
32.16,31533118,32168776,103,-256,-68,-64
32.17,31533118,32172776,103,-256,-68,-64
32.19,31533118,32196762,107,-116,-4,-1140
32.2,31533118,32200797,107,-116,-4,-1140
32.2,31533118,32204860,107,-116,-4,-1140
32.2,31533118,32208873,107,-76,-116,-1060
32.21,31533118,32212776,102,-76,-116,-1060
32.21,31533118,32216789,102,-76,-116,-1060
32.24,31533118,32240774,104,-192,376,-1484
32.24,31533118,32244943,104,-192,376,-1484
32.24,31533118,32248775,104,64,-32,-648
32.25,31533118,32252775,104,64,-32,-648
32.25,31533118,32256775,104,64,-32,-648
32.26,31533118,32260786,104,64,-32,-648
32.28,31533118,32284774,103,348,-256,-1040
32.28,31533118,32288775,102,388,352,-920
32.29,31533118,32292782,102,388,352,-920
32.29,31533118,32296794,102,388,352,-920
32.3,31533118,32300776,102,388,352,-920
32.3,31533118,32307309,102,-52,88,-488
32.43,31533118,32436775,96,456,96,-660
32.44,31533118,32440775,96,456,96,-660
32.44,31533118,32444775,96,456,96,-660
32.44,31533118,32448790,96,40,308,-788
32.45,31533118,32452775,96,40,308,-788
32.45,31533118,32456775,96,40,308,-788
32.46,31533118,32460787,96,40,308,-788
32.48,31533118,32484774,98,-348,208,-200
32.48,31533118,32488775,89,-8,-536,-2008
32.49,31533118,32492791,89,-8,-536,-2008
32.49,31533118,32496801,89,-8,-536,-2008
