Time (seconds),Lock,Running Time,Light,Acceleration x,Acceleration y,Acceleration z
25.98,25953118,25953147,103,152,36,-1028
26.01,25953118,26016857,104,120,64,-1020
26.02,25953118,26020785,110,120,64,-1020
26.02,25953118,26024943,110,108,28,-1020
26.02,25953118,26028806,110,108,28,-1020
26.05,25953118,26052774,104,148,16,-1020
26.05,25953118,26056865,104,148,16,-1020
26.06,25953118,26064775,104,136,24,-1040
26.06,25953118,26068775,104,136,24,-1040
26.07,25953118,26072786,105,136,24,-1040
26.07,25953118,26076776,105,136,24,-1040
26.1,25953118,26100779,107,92,40,-1040
26.1,25953118,26104785,107,80,-40,-1048
26.1,25953118,26108797,107,80,-40,-1048
26.11,25953118,26112870,107,80,-40,-1048
26.11,25953118,26116917,107,80,-40,-1048
26.12,25953118,26120814,109,80,-40,-1048
26.14,25953118,26144774,109,-36,124,-1016
26.14,25953118,26148878,117,-36,124,-1016
26.15,25953118,26152776,117,-36,124,-1016
26.15,25953118,26156790,117,-36,124,-1016
26.16,25953118,26160776,117,-36,124,-1016
26.16,25953118,26164776,117,-16,36,-1016
26.18,25953118,26188775,129,24,272,-1244
26.19,25953118,26192777,129,24,272,-1244
26.19,25953118,26196774,141,24,272,-1244
26.2,25953118,26200788,141,24,272,-1244
26.2,25953118,26204859,141,-80,-84,-988
26.2,25953118,26208876,141,-80,-84,-988
26.21,25953118,26212779,141,-80,-84,-988
26.24,25953118,26240774,140,-60,-36,-768
26.24,25953118,26244776,140,-52,-104,-568
26.24,25953118,26248790,144,-52,-104,-568
26.25,25953118,26252775,144,-52,-104,-568
26.25,25953118,26256776,144,-52,-104,-568
26.26,25953118,26260787,144,-52,-104,-568
26.28,25953118,26284940,145,-328,-316,-76
26.28,25953118,26288794,145,-328,-316,-76
26.29,25953118,26292764,145,-328,-316,-76
26.29,25953118,26296789,148,-328,-316,-76
26.3,25953118,26300815,148,-328,-316,-76
26.3,25953118,26304946,148,-48,72,-1400
26.32,25953118,26328782,149,-152,36,-1580
26.33,25953118,26332800,149,-152,36,-1580
26.33,25953118,26336775,149,-152,36,-1580
26.34,25953118,26340775,149,-152,36,-1580
26.34,25953118,26344775,149,-52,-188,-992
26.34,25953118,26348775,152,-52,-188,-992
26.37,25953118,26372775,149,60,168,-848
26.37,25953118,26376776,149,60,168,-848
26.38,25953118,26380776,149,60,168,-848
26.38,25953118,26384794,149,-180,-388,-640
26.39,25953118,26388774,149,-180,-388,-640
26.39,25953118,26396797,151,-180,-388,-640
26.42,25953118,26420861,151,152,80,-688
26.42,25953118,26425212,154,-228,64,-960
26.42,25953118,26428785,154,-228,64,-960
26.43,25953118,26432775,154,-228,64,-960
26.43,25953118,26436775,154,-228,64,-960
26.44,25953118,26440775,154,-228,64,-960
26.46,25953118,26464774,151,120,-80,-896
26.46,25953118,26468775,151,120,-80,-896
26.47,25953118,26472776,152,120,-80,-896
26.47,25953118,26476776,152,120,-80,-896
26.48,25953118,26480860,152,120,-80,-896
26.48,25953118,26484775,152,-56,-140,-1048
26.49,25953118,26492801,152,-56,-140,-1048
26.51,25953118,26516866,151,-292,32,-284
26.52,25953118,26520939,151,-292,32,-284
26.52,25953118,26524786,150,-20,12,-1304
26.52,25953118,26528774,150,-20,12,-1304
26.53,25953118,26532775,150,-20,12,-1304
26.53,25953118,26536775,150,-20,12,-1304
26.56,25953118,26560775,150,120,-44,-864
26.56,25953118,26564776,150,-52,108,-904
26.57,25953118,26571243,150,-52,108,-904
26.57,25953118,26576775,151,-52,108,-904
26.58,25953118,26580778,151,-52,108,-904
26.58,25953118,26584789,151,-52,108,-1004
26.6,25953118,26608874,151,268,48,-696
26.61,25953118,26612920,151,268,48,-696
26.61,25953118,26616787,151,268,48,-696
26.62,25953118,26620787,151,268,48,-696
26.62,25953118,26624776,154,268,48,-696
26.62,25953118,26628776,154,48,-20,-596
26.65,25953118,26652775,150,-16,216,-692
26.65,25953118,26656777,150,-16,216,-692
26.66,25953118,26660776,150,-16,216,-692
26.66,25953118,26664776,150,-16,216,-692
26.66,25953118,26668777,150,292,-120,-792
26.67,25953118,26672781,151,292,-120,-792
26.67,25953118,26676783,151,292,-120,-792
