time_ax,theoretical_vx
0.0318840000000000026,0.0794853274772920337
0.0657445000000000113,0.0844894971290173213
0.071717000000000003,0.0943880466221084374
0.0776904999999999957,0.0993947114967964479
0.0917245000000000005,0.129406005680853253
0.105704500000000007,0.134277928515554645
0.109660000000000007,0.13927586010987314
0.113659999999999997,0.144258820366415352
0.117662500000000003,0.14926299001814064
0.121666499999999997,0.154249693109126923
0.135661000000000004,0.184182387769858236
0.14965500000000001,0.189167843249363171
0.153664500000000009,0.19418698423886474
0.1576795,0.199186163444664582
0.161715999999999999,0.204258951727864568
0.165785500000000002,0.209340473291434015
0.169747499999999996,0.214145025106142084
0.183664500000000008,0.244066491263541158
0.197656500000000013,0.249058184800452886
0.201664499999999997,0.25406734489810362
0.2056645,0.259039076651313649
0.209657499999999997,0.26403077018822535
0.213662999999999992,0.26903369222846929
0.227662000000000003,0.298961396443275185
0.241657000000000011,0.303954337591668289
0.247667999999999999,0.313960181672156169
0.253683500000000006,0.318964351323881457
0.257716500000000015,0.324023415880786425
0.261773499999999992,0.32908747088361695
0.275812000000000002,0.359052603442863494
0.289739499999999983,0.363839688696832531
0.293657500000000016,0.368828887010781592
0.297657000000000005,0.373819332936211945
0.301657000000000008,0.378809778861642299
0.305657000000000012,0.383800224787072652
0.309657000000000016,0.388790670712503006
0.323656999999999972,0.418733346265085127
0.337657499999999999,0.423725039801996883
0.341659500000000005,0.428719228561871279
0.345662000000000025,0.433712169710264384
0.349671500000000024,0.438723825030877812
0.353714499999999987,0.443800356148521813
0.367786999999999975,0.473837850173687181
0.381746499999999989,0.478632421096544358
0.3856715,0.4836316003023442
0.389665999999999957,0.488599589221110131
0.393656999999999979,0.493590035146540485
0.397657499999999997,0.498581728683452241
0.403668000000000027,0.508587572763940066
0.419718499999999994,0.538631304846512227
0.433753500000000014,0.543608027045647701
0.437703000000000009,0.548486187937755831
0.441664500000000015,0.55349285281244387
0.445676500000000031,0.558497022464169213
0.449753000000000014,0.563664629219952307
0.463745500000000033,0.593411429769961307
0.477675000000000016,0.598421837479093388
0.481670500000000001,0.603381093117489775
0.485657999999999979,0.608371539042920184
0.489657999999999982,0.613361984968350593
0.493657499999999971,0.618351183282299655
0.507657000000000025,0.648293858834881886
0.521657499999999996,0.653285552371793532
