time_px,theoretical_px
0.0488142500000000035,0.00277613477429096986
0.0687307500000000071,0.00331030783931776824
0.0747037499999999993,0.00388908849212940685
0.0847074999999999911,0.00549458312456497545
0.0987145000000000106,0.00733773382459786735
0.107682250000000007,0.00787875483005180677
0.111660000000000009,0.0084458241910043818
0.115661249999999993,0.00903323471403647514
0.119664500000000007,0.00964086710565726333
0.128663749999999993,0.0120089609835877433
0.142658000000000007,0.0146212925500292367
0.15165975000000001,0.015389823140436262
0.155672000000000005,0.0161795197344109451
0.159697749999999999,0.0169937728381079033
0.16375075,0.017835344268165923
0.167766499999999985,0.0186742690404915201
0.176706000000000002,0.021862733877149966
0.190660500000000011,0.0253126341108936698
0.199660500000000019,0.0263208976724095718
0.203664499999999998,0.0273471105155084077
0.207660999999999984,0.0283914194647235454
0.211660249999999994,0.0294590143168285794
0.220662499999999984,0.0334346959399864571
0.234659500000000021,0.0376535987888959728
0.244662500000000005,0.0395107408765433959
0.250675749999999975,0.0414144196406622325
0.255700000000000038,0.0427110044732304517
0.259745000000000004,0.044035839907032033
0.268792750000000025,0.0488660671237481845
0.282775749999999992,0.0539001083231359854
0.291698499999999972,0.0553354060629472136
0.295657249999999983,0.056820516840786213
0.299657000000000007,0.0583257750643819198
0.30365700000000001,0.059850995071679354
0.307657000000000014,0.0613961768626785087
0.316656999999999966,0.0670488449815216103
0.330657250000000014,0.0729462642985877069
0.339658499999999974,0.0746520052795838079
0.343660750000000015,0.0763779461153759331
0.347666750000000024,0.0781269621758332311
0.351693000000000033,0.0799109848080873653
0.360750750000000009,0.0863677166373219979
0.374766749999999982,0.0930157210132204065
0.383708999999999967,0.0949041641552157283
0.387668750000000006,0.0968459528984914331
0.391661499999999996,0.0988059122939170947
0.39565724999999996,0.100790503864518044
0.400662750000000012,0.10381729940769284
0.411693250000000011,0.112221492705236098
0.426736000000000004,0.119816107216789342
0.435728250000000039,0.121972720267827808
0.43968375000000004,0.124155465252793765
0.443670500000000023,0.126386116942598659
0.44771475000000005,0.128673362929143803
0.456749249999999996,0.136768556306852002
0.470710249999999997,0.145069377054924842
